year,holiday_name,holiday_date
2019,Sunday,2019/07/07
2019,Saturday,2019/07/13
2019,Sunday,2019/07/14
2019,Saturday,2019/07/20
2019,Sunday,2019/07/21
2019,Saturday,2019/07/27
2019,Sunday,2019/07/28
2019,Saturday,2019/08/03
2019,Sunday,2019/08/04
2019,Saturday,2019/08/10
2019,Sunday,2019/08/11
2019,Saturday,2019/08/17
2019,Sunday,2019/08/18
2019,Saturday,2019/08/24
2019,Sunday,2019/08/25
2019,Saturday,2019/08/31
2019,Sunday,2019/09/01
2019,Saturday,2019/09/07
2019,Sunday,2019/09/08
2019,Saturday,2019/09/14
2019,Sunday,2019/09/15
2019,Saturday,2019/09/21
2019,Sunday,2019/09/22
2019,Saturday,2019/09/28
2019,Sunday,2019/09/29
2019,Saturday,2019/10/05
2019,Sunday,2019/10/06
2019,Saturday,2019/10/12
2019,Sunday,2019/10/13
2019,Saturday,2019/10/19
2019,Sunday,2019/10/20
2019,Saturday,2019/10/26
2019,Sunday,2019/10/27
2019,Saturday,2019/11/02
2019,Sunday,2019/11/03
2019,Saturday,2019/11/09
2019,Sunday,2019/11/10
2019,Saturday,2019/11/16
2019,Sunday,2019/11/17
2019,Saturday,2019/11/23
2019,Sunday,2019/11/24
2019,Saturday,2019/11/30
2019,Sunday,2019/12/01
2019,Saturday,2019/12/07
2019,Sunday,2019/12/08
2019,Saturday,2019/12/14
2019,Sunday,2019/12/15
2019,Saturday,2019/12/21
2019,Sunday,2019/12/22
2019,Saturday,2019/12/28
2019,Sunday,2019/12/29
2020,Saturday,2020/01/04
2020,Sunday,2020/01/05
2020,Saturday,2020/01/11
2020,Sunday,2020/01/12
2020,Saturday,2020/01/18
2020,Sunday,2020/01/19
2020,Saturday,2020/01/25
2020,Sunday,2020/01/26
2020,Saturday,2020/02/01
2020,Sunday,2020/02/02
2020,Saturday,2020/02/08
2020,Sunday,2020/02/09
2020,Saturday,2020/02/15
2020,Sunday,2020/02/16
2020,Saturday,2020/02/22
2020,Sunday,2020/02/23
2020,Saturday,2020/02/29
2020,Sunday,2020/03/01
2020,Saturday,2020/03/07
2020,Sunday,2020/03/08
2020,Saturday,2020/03/14
2020,Sunday,2020/03/15
2020,Saturday,2020/03/21
2020,Sunday,2020/03/22
2020,Saturday,2020/03/28
2020,Sunday,2020/03/29
2020,Saturday,2020/04/04
2020,Sunday,2020/04/05
2020,Saturday,2020/04/11
2020,Sunday,2020/04/12
2020,Saturday,2020/04/18
2020,Sunday,2020/04/19
2020,Saturday,2020/04/25
2020,Sunday,2020/04/26
2020,Saturday,2020/05/02
2020,Sunday,2020/05/03
2020,Saturday,2020/05/09
2020,Sunday,2020/05/10
2020,Saturday,2020/05/16
2020,Sunday,2020/05/17
2020,Saturday,2020/05/23
2020,Sunday,2020/05/24
2020,Saturday,2020/05/30
2020,Sunday,2020/05/31
2020,Saturday,2020/06/06
2020,Sunday,2020/06/07
2020,Saturday,2020/06/13
2020,Sunday,2020/06/14
