SEASON,SECTOR,PERMIT_NUMBER,RIGHT_NUMBER,PERMIT_STATUS_NAME,Quota_code
2017-2018,WCRLN,1709502,WCNF151304,Cancelled,0
2017-2018,WCRLN,1709511,WCNF150436,Cancelled,0
2017-2018,WCRLN,1709512,WCNF150205,Cancelled,0
2017-2018,WCRLN,1709514,WCNB15219,Expired,0
2017-2018,WCRLN,1709516,WCND151235,Expired,0
2017-2018,WCRLN,1709546,WCNF150334,Cancelled,0
2017-2018,WCRLN,1709547,WCNF150030,Cancelled,0
2017-2018,WCRLN,1709550,WCNB15715,Expired,0
2017-2018,WCRLN,1709556,WCNB15732,Expired,0
2017-2018,WCRLN,1709557,WCNB151760,Expired,0
2017-2018,WCRLN,1709559,WCNB151615,Expired,0
2017-2018,WCRLN,1709560,WCNB15558,Expired,0
2017-2018,WCRLN,1709561,WCNB151080,Expired,0
2017-2018,WCRLN,1709569,WCND151070,Cancelled,0
2017-2018,WCRLN,1709572,WCND150912,Expired,0
2017-2018,WCRLN,1709582,WCNB15593,Expired,0
2017-2018,WCRLN,1709584,WCNF151709,Cancelled,0
2017-2018,WCRLN,1709585,WCNF151348,Cancelled,0
2017-2018,WCRLN,1709586,WCNF152362,Cancelled,0
2017-2018,WCRLN,1709587,WCNF150790,Cancelled,0
2017-2018,WCRLN,1709611,WCNF150550,Cancelled,0
2017-2018,WCRLN,1709620,WCND151749,Expired,0
2017-2018,WCRLN,1709622,WCND151185,Expired,0
2017-2018,WCRLN,1709623,WCND151304,Expired,0
2017-2018,WCRLN,1709629,WCND151213,Expired,0
2017-2018,WCRLN,1709632,WCNB15812,Expired,0
2017-2018,WCRLN,1709633,WCND151403,Expired,0
2017-2018,WCRLN,1709654,WCNF152169,Cancelled,0
2017-2018,WCRLN,1709655,WCNF150772,Cancelled,0
2017-2018,WCRLN,1709660,WCND151301,Expired,0
2017-2018,WCRLN,1709661,WCND151720,Expired,0
2017-2018,WCRLN,1709669,WCNB15737,Expired,0
2017-2018,WCRLN,1709683,WCND151641,Expired,0
2017-2018,WCRLN,1709685,WCND150396,Expired,0
2017-2018,WCRLN,1709686,WCND151273,Expired,0
2017-2018,WCRLN,1709688,WCND150357,Expired,0
2017-2018,WCRLN,1709689,WCND150360,Expired,0
2017-2018,WCRLN,1709699,WCNB150919,Expired,0
2017-2018,WCRLN,1709702,WCNF152732,Cancelled,0
2017-2018,WCRLN,1709711,WCND150913,Approved,0
2017-2018,WCRLN,1709713,WCNF151631,Cancelled,0
2017-2018,WCRLN,1709714,WCND151336,Expired,0
2017-2018,WCRLN,1709715,WCNF152492,Cancelled,0
2017-2018,WCRLN,1709716,WCND150089,Expired,0
2017-2018,WCRLN,1709729,WCND150916,Expired,0
2017-2018,WCRLN,1709731,WCNF150560,Cancelled,0
2017-2018,WCRLN,1709732,WCNF150728,Cancelled,0
2017-2018,WCRLN,1709733,WCNF150042,Cancelled,0
2017-2018,WCRLN,1709734,WCNF151209,Cancelled,0
2017-2018,WCRLN,1709740,WCND151434,Expired,0
2017-2018,WCRLN,1709742,WCND150211,Expired,0
2017-2018,WCRLN,1709744,WCND151362,Expired,0
2017-2018,WCRLN,1709747,WCND150040,Expired,0
2017-2018,WCRLN,1709748,WCNF150304,Cancelled,0
2017-2018,WCRLN,1709749,WCNF151220,Cancelled,0
2017-2018,WCRLN,1709750,WCNF152014,Cancelled,0
2017-2018,WCRLN,1709751,WCNF150931,Cancelled,0
2017-2018,WCRLN,1709752,WCND150101,Expired,0
2017-2018,WCRLN,1709758,WCND150302,Expired,0
2017-2018,WCRLN,1709760,WCND151472,Expired,0
2017-2018,WCRLN,1709762,WCND151813,Expired,0
2017-2018,WCRLN,1709764,WCNF150918,Cancelled,0
2017-2018,WCRLN,1709791,WCNF151285,Cancelled,0
2017-2018,WCRLN,1709792,WCNF150001,Expired,0
2017-2018,WCRLN,1709807,WCNF150552,Cancelled,0
2017-2018,WCRLN,1709810,WCNF151168,Cancelled,0
2017-2018,WCRLN,1709813,WCND150380,Expired,0
2017-2018,WCRLN,1709821,WCNE150663,Expired,0
